,review
271,"poor service hotel somewhat old certainly not worth cost, beds highly uncomfortable hotel ranking, reception pretty slow inquiry taking 20 minutes addressed, stay included breakfast, unfortunately no-one reservation check bottered notified day stay, customer service marriott overall unhelpfull come accross, avoid marriott properties cost,  "
272,"not good, agree posters rooms service caribe hilton lacking, business staying caribe second time, no better, rooms really bad, n't know say, boss reservations diamond member, did n't executive tower told, august break.so marched rooms desk clerk comes running, trouble room key right, midnight, comes just asked straight room right, yup, floor, rooms just old, needs updating, bathrooms old, breakfast check, fruit breakfast bar mold, usually just stick executive lounge meeting people morning went downstairs, just okay.location great just not abide rooms, come hilton 239 plus resort fee low season ca n't money update rooms think ritz corporate rate bad service, rooms better,  "
273,"surely stay stayed executive-level room newer tower room not bad nice view, executive level lounge good seleciton snacks drinks day, grounds generally pretty include tropical garden pond swans private beach pools restaurants shops, good parts.unfortunately negative aspects significantly cut enjoying vacation revolve terrible service overcharging, reasons advise stay elsewhere.we requested nonsmoking room beds confirmed twice, instead received room smelled stale smoke floor no non-smoking signs just single king-size bed, hesitant request room change experience punative component replacement room quite worse.the service poor, valets bellmen n't come greet drive valet service takes long time retrieve car, concierge curt answers questions pre-printed sheet paper, driving directions handed actually error, paper handed checkin listed incorrect location breakfast area executive lounge.internet service 15/day want pay does n't work, number help connects support person warsaw poland really phone room stopped working day.our room key cards expired reprogrammed twice day.the final insult over-charging, addition 9 tax prepared 10 resort fee 1/day donation orphanage, told resort fee required puerto rico law yeah right remove orphanage donation not working told returned home,  "
274,"overated overpriced company assigns hotel employees no choice endure brief numerous overnights caribe, visit featured smoking room did not request staff refused change room, reporting malfunctioning air conditioner did not budge 53 degree setting forced remain room, floor co-workers reported roaches room staff failed, rooms generally mildewed damp musty, n't want drink water san juan need bottled water room ready cough 7.00, need internet, going cost 14.95 excessive consider hotels providing free wifi/lan service guests, choice,  "
275,"overpriced moldy musty hotel excited going puerto rico durring winter, disapointment checked hotel.the room small balcony view ocean, morning flood bathroom bathroom, called told plumbing diverted incorectly, n't know means, 4 hours later n't come fix problem, asked new room told none available, husband went dest complain, finaly given room, rest time called apologize ask, really did n't care, floor 5 main building distinct musty odor elevator doors opened, couple got did noticed, small chunks walls gone corners hallways, rest walls stained bad need new paint job.there working elevator 5 nights stayed, took 10-15 minutes room lobby, allowed use service elevator leads main kitchen, seeing kitchen glad did n't eat facility restaurants.when checked shocked additional charges, 24.00 resort fee 4.50 bellman fee maid fee, blocked wi fi services forced use internet service 14.95/night.we definetly hotel, paid 285.00/night not worth money, not hotel need repairs employees rude did n't care way guests, checked did n't ask alright, holiday inn asks checkout, oh live learn,  "
276,"not good place carribe hilton business conference jan 22-27 2006 not good experience, arrived 5:30 sunday desk gave standard check card saying room ready 4 earlier told not ready hour, finally got room 7:30 no explanation no upgrade, room 7th floor tower, large quite dated, tv small set cabinet wall look sideways bed sat easy chair way room, no light chair n't sit read evening, bathroom fixtures sort dirty not toilet tended flush odd hours quite loudly, view lagoon just small lake construction going, phones room faulty not hear fail middle forcing realized party n't heard awhile, took 2 days replace phones brought problem, charge 1.25 outgoing, went desk ask 2 charges resulted hotel phone failing mid-call having recall phones worked correctly n't recall incur extra expenses, desk woman flat refused arguing calls charges charges, eventually called got phones worked head communications calls messages agreed deduct unnecessary charges, group business meeting lights did n't work correctly days trying hotel people fix group organizer gave, overall place nice opened 1949 n't line people rude unhelpful,  "
277,"hilton family tend hotels, place horrible, furnishings worn lobby horrible odor septic tank, rooms small old, bathrooms need repair, q-tip floor hallway entire stay, tried rooms worse stayed nights moved competitor rest vacation, beach not groomed lots garbage cigarette butts, pool mold stairs floating garbage cups, staff friendly oblivious used surroundings.this definitely affect hotel stay time travel hilton not list,  "
278,"big disappointment vacation began june 28th july3 2005 husband 3 teenage daughters, say not complain did check reviews written set vacation, ignored favorable reviews knowing people able, paid attention, hotel not pictures internet, hotel run neglected, let say foul odor time, did not long figure 2 sewer waste disposal trucks outside tower emptied waste hotel, 24 hrs time, walk hotel garden tower literaly feces ground accidently fallen hoses trucks, rain buckets cathing water ceilings lobbies, morning bellman running mouse lobby not catch bucket using bellmen decided pound death bucket, problem pool, hotel not place family, resturants expensive hotel location no places walk eat, hallways vacummed time, everytime walk elevator floor ashtray fallen trash remained floor days did, left food tray outside hotel room stayed day, 2 rooms, neglected, a/c did not work cold stayed way, soo cold condensation time windows, room clammy hot, electrical outlets did not work bathroom loose, time did try use hair dryer blew fuse shut air conditioning tv, lose electricals off/on floor/room time, beach lot smaller appeared pictures, n't photos construction going streets hotel, not believe hotel suffered neglect business, hotel walls filthy, think hilton, wonder time hilton corporation inspected hotel, understand beautiful hotel day not anymore,  "
279,"hotel horrible, stayed night came cruise, hotel poor condition, got room supposed bargain 150/night, paid 300, room old dirty, shower bathroom area rust dirt mildew not step bare feet, looked like not cleaned months, basic motel nicer cleaner 4 star hotel, walls carpet numerous stains, closet door broken, view room constructions site huge crane, took pics problems digital camera brought manager, claimed shocked asked taken hotel, given room n't better.the hotel services not good, service restaurants not good/friendly food terrible, restaurant does not salad dressing salads menu, room service food better restaurants tried hotel, problem, room service took 1 hour 15 min, bring food wait brought coffee tea w/o sugar.never,  "
280,"disappointed searching inexpensive honeymoon job loss picked caribe hilton displeasure, booked non-smoking king deluxe oceanview room got smoking room looking constuction site roof building ocean far distance, instead hearing oceanwaves heard crane morning 8. complained desk soon checked told nothing available day, day got nothing runaround showed room worse, showed paper worked honeymoon got nothing, not businessman coming group not place, judging complaints heard couples hotel guess not ones treated way, breakfast buffet best thing package, conceirge extremely helpful finding local places eat good spanish food not sticking hotel restaurants did try regretted, service horrible minimal food got cost ridiculous, hotel nice staff leaves alot desired,  "
281,"worst hampton america hilton hhonors diamond member 100 stays year hilton hotels hotel worst hotel stayed place like 1960 beds horrible staff attitude conflictive hotel priced 59 night not 189, disgrace conrad hilton pool carpet paint beds dilapidated, family decided days time point advised hotel insulting saying guess time home puerto rico expensive responded no moving real hotel like embassy suites arrived embassy suites hotel manager personally took care gave diamond member treatment, difference 20 family able recuperate dreadful mistake staying worst hampton america, hotel probably ok flying crew night not families, kids wonderful time embassy suites cascading waterfall water toys pass hours breakfast food far superior served hampton, hampton cafeteria area serving food closed 9p.m. disappointment, no stays hampton inns puerto rico nor,  "
282,"ok staff not friendly staffs not friendly poop bathroom checked room, great location bus stop right outside,  "
283,"word unpleasant extremely disappointed hotel staff left feeling utterly unwelcome, return hotel nor advise stay, extremely expensive 45 1 hamburger 1 turkey club sandwich 2 sodas poolside cabana, tiny crowded right major bridge thoroughway local children literally jumping bridge beach area fun, poolside bartenders downright rude 10 oz beer cost 5, hotel quite bit past prime need update, good thing say hotel desk staff room attendants pleasant accomodating, bad rest staff visit unpleasant difference great hotel terrible hotel not costs quality staff, apparently condado plaza hotel casino n't aware,  "
284,"not stay stayed group people, 1 person ceiling bathroom fell, rooms dirty musty, overpriced pina colada no rum 8, service terrible check charged maid gratuity bell man gratuity, absolutely terrible place,  "
285,"id stay motel 4 star, hahahaa, seen better motel sixes, room wasnt bad alot room fixtures disrepair rusty not indicative 4 star hotel, carpet stunk, staff not helpful casino staff, encounters people general area minus bellhops left distaste puerto rico, rude condescending, maybe looking gringo, not sure, not visit unless cruise ship ports, spend extra dollars stay caribe hilton, worth,  "
286,"disgrace called wyndham hotel worse vacation experienced expensive, filth condado rooms cafeteria forced fly home accommodations, lucky rooms wyndham el san juan rate twice price, hotel worthy wyndham, spending 500 night expect sleep spending wonderful day beach pools, security called nightly basis did not help told numerous complaints rooms, supposedly told visits security asked leave, did not happen,  "
287,"hotel did not let know advance pool area close renovation, day vacation passes marriot hotel pool, concierge not helpful whatsoever, rooms infested mosquitos, beach not block away actualy 5 blocks away, advise books hotel unhappy,  "
288,"careful booked hotel hotels, relying radisson thought guarantee quality, not case location, paid 250 night cruise, placed accomodations badly need updating, bathtub black grime, visible mold bathroom rooms smelled mildew, stains carpeting furniture, asked different room shown 3 identical deplorable condition, head housekeeper told rooms needed ripped replaced not, asked room updated asthma ca n't tolerate molds, told nothing available hotel, called radisson 1-800 number guarantee says n't pay not satisfied, helpful woman 1-800 number secured different accomodations hotel, placed vip floor room clean contained no visible mold grime, worst hassle desk people 2 hours traveling day no help, telling filled no avilable rooms telling newly arrived people reservations rooms, felt prepayment doomed room inferior quality, woman 1-800 number said rooms not used renovated.the end result prepay room, second time experienced inferior room prepayment stay hotel,  "
289,"2.5 stars masqerading 4 not 4 star book course subjective travelers expectations just high, recently stayed intercontinental san juan resort thoroughly disappointed, not told book room charge hold credit card 100.00 night incidential fee day stay, pool chair cushions numerous stains bird feces, streets needed repairs abandon buildings area local homeless people authentic puerto rician restaurant area, overall hotel staff nice room just okay..nothing spectacular, beach storms inclimate weather conditions massive seaweed ocean debris look extremely unpleasing swim, pretty scenery way seaweed, did not appreciate hotel adding 15 gratuity purchase consent initial knowledge, pool consistently leaves overhead trees not cleaned knowledge hourly, pool area did not music minimal night life existing area, communication staff members appalling non existent, cab rides/fares fluxuated 2-4 ride destinations, cabbies supposed work zones discovered drivers dishonest tourists n't think know better, frustrating, hotel premises not allowed bring outside food pool area public beach able eat outside food, want eat drink restaurants site, water room turned luke warm hour water pressure shower terrible, food pricey, everyday desk send towels washclothes, extremely disappointed dissatisfied hotel stay not hotwire consumer negative hotel experience,  "
290,"bad spa 7 days spent huge family 30+guests things stolen rooms jewelry, upseting, nail hair salon small bad service cheap nail polish wax, techniques bad,  "
291,"try time stayed 2/12-15/05 older facility average beach, food ok not memorable food service ranged bad good, given garden view room roared hotel exhaust balcony, evening entertainment casino, disappointed intercontinental website dropped room prices time reservation booked arrived not honor claim matching lowest web price close bus airport alternative restaurants, pool nice cold use, staff friendly spoke english, tight security.ok business time,  "
292,"horrible service horrible casino horrible hotel intercontinental san juan worst experience, 30 friends went wedding stayed hotel, charged mandatory fee bellmen stand chatting instead opening door, casino joke, dropped 1000 night beg drink, did n't want wife drink n't playing betting, best thing dealers casino starting talking spanish little did know speak spanish just sat listened, security annoy hell, ca n't leave hotel come harrassed, pool 5 cokes make throw trash rules poolside says no glass nothing cans, friends booked stay week paid 250 fee airlines just leave early, return, complained corp. office told contacted hotel no record, convenient, looking horrible time look no,  "
293,"not worth free just returned 2 days stay using starpoints, just wasted 14,000 starpoints, definitely worse sheraton stayed, staff unfriendly did n't smile, furniture carpet etc.. extremely worn, room got small window like cubby hole, room faced parking lot, night long honking car alarms parking lot, extremely crowded cruise ship passengers, avoid cost, used wyndham hotel,  "
294,"terrible place stay, resort terrible management team attitude client wrong, went check 2 rooms credit card charged rooms received voiced told did n't like no rooms, ordered room service breakfast brought 1 breakfast told wrong ordered 1 went form pointed 2 ordered said want breakfast no want treated like human sorry nice raising voice, apologized room breakfast nothing attitude n't like leave, pool area 11 lounge chairs hotel 240 room, pool area disgusting, stay bet,  "
295,"not place stay, best thing said property location, rooms adequate common areas ok. checked hotel wait 20 minutes severely understaffed desk, elevators rooms small bell staff quick jump elevators luggage carts, plan 40 minutes checked room starwood preferred member, arrived room appeared housekeeping staff not completely finished making room, needed towels no pillowcases pillows, left dinner stopped desk asked pillowcases bed pillows leave towels, arrived dinner 2 hours later no towels pillowcases, required calls housekeeping attend room.the nights stayed property expected sheraton, checkout process not long check-in process woefully slow, hotel does not emphasize customer service definitely not reccomend,  "
296,"food really bad stayed iberostar playa del carmen mexico past years loved, spring decided try dominican republic change, weather beaches excellent, resort not standars quetzal mexico, n't think dominicana considered 5 star, rooms smaller not clean need minor repair, example shower really not operational, complained no action taken, air did n't work, room peeling paint cracks tub bathroom floor, biggest disappointment food, just awful, not picky eat just, n't plan vacations eating really bad, running ice silverware cups fries, not staff tables dirty, none problems stayed mexico, thing staff not nearly friendly helpful mexico, actually somewhat rude, european tourists d.r. lot topless, okay prefer mexico stay iberostar quetzal,  "
297,"aware ask questions just word warning weeks november nor water not cariabian no pretty fish no flurishing corals reefs no warm water not clear water, free none motorized activites not free available, check non-motorized activity including snorkeling hour day not experienced n't expect able use sail boats bords, really not unless like drink sleep beach, bored death n't wait leave 10 days, really 3-4 day vacation,  "
298,"hated place start, advise looking lose weight book sraight away food bad u wont touch probably day 2 lived cheetos shop cost 6 pound pack served u unfriendly staff swear didnt crack smile 2 weeks dick turpin wore mask robbed u blind, main pool filthy bugs lots floating hair im slightly bald dive pool surface like don king, entertainment night just like food phone stolen phoning room minutes charged 60 dollars monthly home.the best thing happend coach turning home,  "
299,"butlins bavarro looking good hotel not, originally booked grand palladium resort spa advised 5 days flight 27/12/07 not available, allocated riu bambu advised thomsons agent centre hotel gets lot revisits, not imagine happy hotel clients spoke not happy, rooms small old need refurbishment, tiles cracked holes cracks walls mattresses stained ensuite tatty, hotel called club hotel no advised meant, lively lots noise, no service tables bars restaurant self service, drinks stations helped not clean plastic glasses washed drained wet surface machines, not hygenic, suffered upset stomachs beleive cleanliness stations, food not great chose carefully watch ate repetative, ate evening meal 4 nights 14 overbooked difficult table, did not use la carte feedback hotel clients did not come good, people met paid upgrade use rui palace door charged 50 day felt extra pay holiday not opinion cheap, animacion team day night noise games, 4 pm clear pool children play adult games described 18-30 style crude, did not grandchildren watch women rubbing agains men lap dancing pole dancing, offensive not 4t 5* dominicans graded no higher 3*.the chemist site unbelievable expensive, whilst away needed buy antibiotics cough linctus charged medicine, 5 tablets antibiotics bottle cough lincuts felt riu group taking advantage holiday makets, saving grace hotel beach location great,  "
300,"food poisoning riu bambu ruined trip sister recently stayed 5 nights riu bambu, bit like really nice summer camp grown ups fun sister got violent food poisoning hospitalized, saw hotel hospital, not sure caused really ruined trip, did worker sneeze pile clean linen napkins set tables, saw worker wipe sweaty face clean towels hand towel tourist pool, beach really pretty pool swim bar nice, n't think palace riu worth money upgrade pools n't interesting hear hte food, did like bambu better hotels riu complex.also boys/men work persistent, annoying borders harassment, sever times men work come hands waist, did n't appreciate let know.if need medical attention aware ambulance no air conditioning emt did n't speak english, sister vomited did n't bin vomit, lean window guy driving, hte hospital beautiful patient rights n't doctors did n't introduce provided little information, 1000 credit card, charges bogus including 110 resort doctor stop 5 minutes 10 night, no reason resort consults seen 3 doctors including gastroenterologist day,  "
301,"mixed bag just got 7 night stay previous reviews helpful went felt prepared.the resort no expected gardens pretty kept beach gorgeous, bars noisy night quiet piano bar similar tolerance salsa music measured hours days.animacion crew hard working really enjoy jobs, staff friendly no problems front.the food poisoning issue really does need addressing, 37 bouts 8 hour period 7 immodium no effect not make happy camper, sore stomach week later careful ate drank, children sick high fever vomiting diarrhea people spoke similar problems stay, management read different wine really wine, phrase uk cheeky liitle number stuff downright rude beer good though.this not 5 star international standards like 3. really international staffing overcome language barrier non spanish speakers.visitors told needing tourist visa entry plane.i probably not resort continues health problems, accept visiting 3rd world country n't expect like water electricity wo n't disappointed.5 10 better,  "
302,"not great fiance just returned dominican republic stayed riu bambu punta cana, course read reviews prior going unfortunately chose ignore negative ones, not happen, previously stayed riu jalisco mexico loved thought riu similar- definitely not, hotel pushed pretty no ocean view rooms fact walk quite ocean, hotel nothing spectacular, rooms standard pretty clean, staff nice good kids, shows night actually pretty funny, did not outside hotel rain hotel staff did not recommend really no no nightlife outside hotels, food horrible, undercooked just tasted, cater europeans, majority people german, day began sick, threw fiance started throwing 6pm 3am kept going, not able hold dehydrated called doctor come, fiance taken hospital 5 hrs, ok just episode vomiting, hotel states virus thats going europe say long does happen, friends went punta cana months ago got sick reviews people went months years ago talk getting sick strong virus, just ate bread rice bland, actually hungry all-inclusive vacation, addition rained day 3 times cloudy time, obvioulsy ca n't control, went excursion sonoa island not worth money, spent 3 hours bus boat island just like, good thing beach beautiful, not returning hotel,  "
303,"pay stay home suppsoe honeymoon ya right peice luggage lost hotel suppose jaquzzi suite stuck standard room tell room trashed people told sales department booked, no water oneday aunts room took maids 2 hours come clean, food lived french fries ice cream, wife sick everynight food, ask nooooooooooooooo,  "
304,"not great family riu palace macau april 13-16 2004. ok definitely not special, room n't ready 6:30pm checked, food greasy cover food flies n't sit, better quality food salad bar deli, nothing local tastes originally dominican republic, pool small beach just ok. punta cana way commercialized, looking secluded beach wo n't, specifically asked kids club entertainment children, kid club consists small area expected child, spent vacation babysitting, definately not worth going,  "
305,"kidding, arrived riu palace macao punta cana week january 2004 expecting apple all-inclusive experience, sick joke terrible not exaggeration, travelled all-inclusives try stay highest rated, resort did not live past experiences, check process took hour half, herded vacationers told wait people gathered presentation, given uncomfortable wristbands told wear times, check-in given room number, no took luggage room, left, room adequate, bed extremely uncomfortable, staff unfriendly unaccomodating, dining limited specific times, dine time table night, pool cold, beach extremely crowded fact shared riu resorts, bars inadequately supplied, service slow, n't ready order ignored, bartender playing cards difficult attention, 7 pm turned away restraurants told not time dine restaurants open tables, alot rules resort, vacation not time want told dine.the food quality average average, selections catered european taste occupied 90 resort, day resort unhappy called apple vacations transfer, accomodated request transferred beautiful resort fantastic food service surroundings no pesky rules, resort secrets excellence punta cana, strongly not recommend riu palace macao,  "
306,"n't speak spanish n't writing becuase people know language barrier hotel, guest european treated badly rudely, entertainment spanish manager hotel spoke little english, food horrible drinks strong, think special goat night, think biggest complaint rude people guest help, no offered help, actually hd help american couple room no came help 1/2 hour,  "
307,"not recomend not star hotel thomson 3+ like 2 star lower food bland stomach problems 2 days returning home not lot atmasphere entertainment disapointing cockroaches food sister hotel naibor holiday hell ill 12 days 14 days not able water,  "
308,"husband son stayed riu taino february 15 22. dissappointed reasons, firstly arriving late late flight dropped riu naiboa door taino walk taino, arrived taino not greated welcome drinks food, husband walk complex midnight snack bar food, settled room horrible night sleep mattress dyer need replaced, day little visitor bath tub roach day day left, rained days week stay staying room watch tv nothing, bad hotel did n't alternative activities case rain, hotel not star contrary rating no 4 star, having said n't bad, love domenican people, hotel kept clean food abundance good beach spectacular, riu taino,  "
309,"beware food water service riu tiano experienced awful vacation resort january 3 january 10 2005. group 20 women basically ended kind illness, ill half vacation did not eat drink funny ended ill. poor food lousy drinks service staff poor, male staff rude way forward liking, beware disco believe illegal operations happening, overall highly consider changing locations hotel,  "
310,"nice beach shabby hotel poor service basically feel resort staff poor, beach excellent food passable service poor non-existent, no ac room, 3 calls finally visited 2 days later told, no better, bed like cement.when checking called bags brought desk, told 5 minutes 1 1/2 hours later decided carry, not decadent americans n't like carry bags just flight 30 stairs desk use golf cart service road not let it.room dated shabby, set 6 drawers closet, broken, tv broken, bathroom ok. doors windows not secure, pushed room door shoulder, risked leaving nothing valuable room.do n't deceived pool quite small smaller picture lead believe, tavelled world stayed all-inclusives sandals iberostars club med trip minute decision deep regret, stay warn friends place, let travel agent earful swayed place.gg new york,  "
311,"horrible, just returned dominican stayed natura park punta cana, nightmare, property beautiful terrible, rooms dirty tired looking, tiles falling walls bathroom no working blow dryers dirty floors, food buffet barely edible, little choices quality poor.when did try complain management dozens guests trying, general attitude staff cares, staff spoke poor english.i n't stay trip free,  "
312,"warm weather cold shoulder husband vacations far worst, read reviews web site hoped best, arrival hotel nobody desk welcome room, people said standing 2 hours, poor service desk, got room guess, toliet does n't flush, went guest service desk reported, said soon fix, needless say nobody came complained, day half later, toliet wo n't stop running, oh guess live, food poor rooms musty spray bugs eating outside restaurant, think message,  "
313,"poor customer service poor customer service not respond follow emails reserved parking space given away, parking nightmare, stayed negligence giving parking space away cancelled reservation error charged night stay,  "
314,"small expensive room given small small people not fit bathroom partner petite.the room fit size bed appeared like single barely fit luggage, room not ventilated felt did not privacy curtains fan air conditioner shoes curtains hold, room faced directly room.at night hear people bar ice machine constantly used.additionally room not swept complained desk room not swept stayed 4 days, think paid steep price paid 140 room.the television small 10 inch.too bad experience not recommend friends visiting area spring,  "
315,"stay away, reading reviews hotels st martin remembered wrote review stayed hotel year cruise, read couple reviews decent bad, 1 night wasnt available figured shot, big mistake huge, place dump, room ratty worn felt like staying vagabond hotel, paying 200 night, believe terrible hotel, dont stay circumstances, sleep rocks hotel rooms, way imagine san juan beach hotel no beach, pretty incredible, entire exterior building surrounded jagged rocks, hotel no balconies,  "
316,"place pretty bad, rooms damp dirty, water lines running walls moisture, bathrooms dirty moldy.stay away,  "
317,"not business traveler place fine want beach steps away bed, 3 night minimum stayed 2 nights pay 3. restaurant sister hotel street wind chime inn food mediocre best, want drink 11:00 pm walk 4 blocks street gas station no soda machine water fountain hotels restaurant wind chimes closes 11:00 pm, staff incompetent good calling taxi, ca n't split business traveler essential, stayed hotels world not remove separate, nice hotel not business traveler likes convenience,  "
318,"holiday inn express condado hotel unfriendly unprofessional, pre paid hotel thought, instead said not gave huge hassle, hotel vey unsafe, hotel dirty, continental breakfest fine, returned cruise stayed wyndham hotel condado nice, spend extra money worth,  "
319,"disappointing thankfully shirt stay hotel, hotel dire need refurbishment, tired look compared similarly priced hotels df, rooms look worn towels feel, long queues breakfast new york deli caters non-guests not best way start day, resorted branch sanborns door,  "
320,"tourists stay away bad address unless want rock concert right room stay away.it thursday night not holiday just ordinary day, started muted mid-evening earplugs, loudness increased decibels got high thought invited rock band room, interior court 2 blocks zocalo, wax ear plugs sleeping pills useless.for reason catedral hotel bad address want sightsee not change rooms.our room run furniture carpet shabby mattress shot, bathroom reasonable.we reserved quiet month ahead checked early, leaves wondering really raving catedral hotel,  "
321,"simply awful, hotel bad state repair, time stayed 2 years ago n't good gotten worse, staff indifferent security bad, gentleman room laptop stolen room locked, advise choice,  "
322,"great hotel poor managment terrible experience local stayed hotel times past years 2007 great hotel stay, start bad, year stayed hotel twice times unpleasent experience hotel manager new hotel policies.the time stayed no double rooms available book single family, went use pool 2 people allowed use pool additoinal person 3 year pay 21 dollars day order use facilities mini golf pool ect book additonal room spend night away family, arrive let say 6:00pm pool closes 8:00pm pay 21 dollars use pool 21 dollars 2 hours quite expensive plus 21 additonal day, consumer rules ridiculous, talking hotel manager words mouth no not use pool unless pay aditional fee weather 2 hours day pay 3rd person, opinion no minor child pay additonal 21 fee use pool especially daily fee reasons choosing hotel becaus son loves pool, second stay stayed sat mon, sat sunday went boat did no use ameneties, monday planed spend afternoon pool, check 11:00am breakfest restaurant check planed use pool remaining afternoon promised 3 year old pool, went pool told use pool not 21 fee becuase no longer alowed use pool hotel amenities check checked, talked hotel manager rude unprofesional lady words no no not use pool check hotel, son bursted tears did wife becuase brake promise son, asked hotel manager make exception day promised son pool, saw tears said absoultly not check 11:00 use amenities time stickly prohibited, bare mind stay night plan use pool lets say arrive 4:00pm check time use pool hotel amenities 4:00pm 8:00am arrival day 8:00am 11:00am following day, dont plan stay day literally kick hotel pool amenities offer.it disapointing experience familiy use hotel unless new policies revised, hotel manager needs people skills, word no vocabulary, instead try way customer, shame becuase hotel quite cozy execellent pool hotel management new policies rules make stay regretfull experience.a mayorbayamon pr,  "
323,"true nightmare n't stay want peace not stay hotel want peace quiet, children unable sleep nights walls neighbors upstairs downstairs night fighting police called, parties hotel pool hours night..our room literally vibrating music high floor, staff desk rude not apologetic management reduced room rate nights did n't make stressful stay lack sleep.stay ritz intercontinental instead beach similar rates depending travel,  "
324,"bed bugs stayed hotel past weekend, returned home bed bug bites, did n't realize home day, spent entire week worrying brought home, not able enjoy benefit weekend away returned way stressed left, service hotel not good, problem room key did n't work return lobby re-set, not people working bars/restaurants led slow service, n't hotel unless want treated poorly staff bugs,  "
325,"worst customer service- not worth staying, puerto rican stayed locations island, hotel good night life, stay just night room service terrible lucky clean room time shower dinner, spent day pool room service n't way room 4:00pm new towels unacceptable, service pool nothing desired, cabana fully staffed people making way pool area accommodating guests does n't happen, ordered food day took hour, day ran water took 45 minutes, time want drink/food order staff just stand talk other.every morning ate breakfast hotel- tip leave hotel places walking distance safe, flag waiter just let sit 30 minutes children coming order, place order expect wait 45 minutes ridiculously slow oh forget internet connection worst, 10 minutes email open send slowest like best staying brother gave credit card details booked hotel, checked credit card details temporarily showed, brother checked gave staff credit card details assured final charged, triple checked desk times final payment charged card, checking loading car suitcases, sign credit card authorize 1,600, incompetent negligent people, called hotel refund card sort error unapologetic told week review, illegal spent time talking guests hotel felt equally disappointed lack accommodation helpfulness hotel staff.you spent millions renovations outside people coming service, say past highly recommended hotel know embarrassed poor quality management staff given price people pay stay, not competition past hotels area getting renovated suggest train staff properly, people islands better service,  "
326,"not expected, excited come puerto rico stay wonderful esj hotel, walked spectacular lobby casino seeing room gave no longer nice, let start rude people went large dead cockroach balcony mildew bathroom tile floor shower tiles floors carpet dirty service slow worst bed bugs, woke thinking mosquito bites saw live walking bed sheet, did n't expect good room highly rated hotel, puerto rico definitely not recommend half-way decent vacation spot,  "
327,"nice lobby, lousy service, dirty rooms, bed bugs, stayed el san juan seven times business preferred hotels not available cheapest, hotel nice lobby bar rooms consistently uncleanly unrenovated renovated rooms service terrible, recent final stay mattress infested bedbugs, asked switch rooms stated 1 no rooms available 2 no come spray room time 3 send change sheets did, needless say switched hotels.have drink bar, stay,  "
328,"different used stayed el san juan total 5 times 6 years, recent stay april 2007. el san juan used owned wyndham company sold european company n't know, guest rooms completely remodeled reviewers stated not match beautiful lobby heard rumors tear lobby moderinize, rooms impractical shower open no sliding door curtain leaked time warping sliding door bathroom flowing guest room not carpeted pseudo-wood type thing, chairs not comfortable did away beautiful balconies used, pool beautiful new lounge chairs extremely comfortable, visit resort enjoy pool experienced best, stay inside disappointed,  "
329,"not stay, paid stayed twice long cheaper place better time, wait 4 hours check room, yes shower leaks terribly, balcony door fence, opens ca n't foot, hallway smelled marijuana smoke entire time, clientelle looked like bunch drug dealers lots gold chains pants hanging derierre bathing suits, covered tattoos foul language works, brought boom boxes beach pool blasted foul languaged music music provided hotel, teenaged boys not kind vacation planning, room apparently located directly mechanical bull bar upstairs everytime fell shook, management n't care, left bellhop forgot tennis racquets, bell manager argued fault not noticing charged 30 send home, emailed lxr main website got home responded,  "
330,"terrible service overall disappointing rooms hotel dirty run-down, stains carpet patio littered glass trash cigarette buts, additionally holes dry wall, pool filthy beach, accommodations pool beach certainly disappointing aspect stay service hotel absolutely appalling, asked repeatedly evidence staying hotel did not belong, not obnoxious insulting, service restaurants bars casino poor best, nights waited 20 minutes waitress drink order, finally prices resort out-of-sight, bottle sunscreen sells 16 6 local grocery store, acquainted outlandish resort prices prices wyndham san juan far surpass seen,  "
331,"abysmal service el san juan reservations wyndham el san juan phone 2/19-2/22, paid advance webrate, received type confirmation called wyndham 4 days trip faxed confirmation, dates reservation incorrect arriving 2/20 instead, hotel completely sold decent hotel san juan, flight tickets extremely upset, woman phone insisted not error reservation read reservation not, share room friends embassy suites night, finally checked el san juan women desk unwelcoming attitude, told wyndham messed reservation hope upgrade room make huge inconvenience, received low-level room view cinderblocks laying low-level roof, bathroom dirty, went beach greeted rude hotel employee refused umbrella, said reserved saw dozen umbrellas beach unused, hotel employee moving chaise lounges rusty cart scraped husband leg causing bleed resulting gash, employee apologetic, husband finally complained security guard amazingly umbrella immediately available, hotel definitely hotspot night attractive lobby not recommend staying, doubt worst hotel stays experienced,  "
332,"noise no room charges allowed hotel attractive lovely features amazing fountain entrance problems staying, firstly room directly china grill techno blaring room 2am, stay make sure ask room away disco, did complaining unfortunately cash guests- meant not charges room, annoying pay cash everything- signed 300 incidentals receipt plus embarrassing told cash-only status room-service waiter, did complained noise just did not like look big problem, nice hotel make sure iron potential problems check good stay,  "
333,"3 star hotel poor royal service plan stayed gran melia reforma booked master suite royal service plan, royal service plan includes continental breakfast snacks cocktails 6-8pm, service private check-in check-out 12th floor, complaints did n't service paid, tipping extra room service check-out charged tip everytime ordered, breakfast really bad visit marquis reforma tips breakfast buffett, royal service lounge pc internet access, person professional courteous elizabeth thank soo understanding, traveling wife kids 3yr old daugher 19 month old son, traveling mexico city look jw marriott marquis reforma, complaints royal service staff not,  "
334,"place place, trust place, loud no frills, place aimed losers diem n't smart shop, buy internet local provider fraction hotel charges, sources snacks sodas water mini-bar street 7/11 closes, place,  "
